"website_id","session_id","event_id","url_path","event_name","data_key","string_value","number_value","date_value","data_type","created_at","job_id"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","54b0dbf9-3759-520f-b4d4-a08447c4d3d1","79b7fa62-e20f-4e7c-b556-1beac91c0f69","/","photo_click","file","twice.jpg","\N","\N","1","2026-03-28 15:30:24","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","54b0dbf9-3759-520f-b4d4-a08447c4d3d1","79b7fa62-e20f-4e7c-b556-1beac91c0f69","/","photo_click","theme","space","\N","\N","1","2026-03-28 15:30:24","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","246a559e-739a-5015-b87d-f7efd8232d47","f6f61427-e792-4405-b55e-abf823da462e","/","theme_change","theme","art","\N","\N","1","2026-04-06 01:59:06","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","bea3a4e2-9373-53d6-b3ea-29b1ea17bc29","e177acf1-207c-4f3a-b56c-705ee31d61b6","/","theme_applied","theme","retro","\N","\N","1","2026-03-27 19:37:52","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","2aa69ec0-1c59-5c0e-a6ea-1f6b94da2ef0","6b6ed2ef-b0b7-4957-b570-91eb33964e98","/","kiss_button_sink","strokes","2.0000","2","\N","2","2026-04-20 04:11:20","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","25b2a635-2f4d-56ed-aa34-c2fd729ccd69","541af468-4e61-4b0d-b573-901d4acc465c","/","theme_change","theme","rain","\N","\N","1","2026-04-11 07:03:11","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","bde2252f-00fc-58df-9642-78a68cbb03b7","b4a1b2ea-5192-442b-b591-ef08377e173b","/marjork/","kiss_button_click","message","я тебя люблю!","\N","\N","1","2026-03-26 18:30:25","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","9883fd71-1911-5c3f-aa8c-dd7814cff2e1","779451ee-2f5f-481b-b592-b020d2b52a4d","/marjork/","photo_click","file","quandry-01.jpg","\N","\N","1","2026-03-25 21:02:37","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","9883fd71-1911-5c3f-aa8c-dd7814cff2e1","779451ee-2f5f-481b-b592-b020d2b52a4d","/marjork/","photo_click","theme","retro","\N","\N","1","2026-03-25 21:02:37","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","ebb35ab8-4982-5d40-91d0-ee9f83d1355a","813b1245-9ac6-4d36-b594-40b63346f5f2","/","photo_click","file","roll_03_(22).jpg","\N","\N","1","2026-04-05 00:32:19","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","ebb35ab8-4982-5d40-91d0-ee9f83d1355a","813b1245-9ac6-4d36-b594-40b63346f5f2","/","photo_click","theme","retro","\N","\N","1","2026-04-05 00:32:19","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","25b2a635-2f4d-56ed-aa34-c2fd729ccd69","95de5aeb-8ff6-42f9-b5ad-b96fb35cc916","/","kiss_button_click","message","u get it","\N","\N","1","2026-04-11 07:03:13","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","ebb35ab8-4982-5d40-91d0-ee9f83d1355a","d7c4aafa-92e7-4bdd-b5bc-df283ced5be1","/","theme_change","theme","space","\N","\N","1","2026-04-05 00:32:32","\N"
